GeneLabel,t-statistic,p-FDR
CDH9,-3.17916555994723,0.028637014460483855
COL9A2,4.00239129188044,0.01062911566536935
COL9A3,2.898518656277125,0.042068740107794655
CRABP1,3.2368342825562038,0.026087762582602952
DLG4,-3.1467499455949635,0.02989415477240341
DUSP8,-3.3595284455900516,0.022273452538647442
CELF5,-2.794208503882172,0.048315252876955095
EVI2A,3.0911075720553427,0.0321720653828797
EXTL1,-2.9387909855789567,0.03944303231985795
EGR4,-2.937264292302465,0.03944303231985795
GPR37,3.409607369074742,0.020447102569982823
GRIA1,-2.974072688077861,0.03778202987146097
GRIA3,-3.5717434842287856,0.016136436037071905
HSPA2,3.8253862309282396,0.011748693316671601
HCRT,4.268242873058196,0.007873394138273223
ITPKA,-3.340397157155918,0.022872626955439408
KCND2,4.792468292302937,0.0038706356550219927
KCNN1,-3.616705972175511,0.015004894113711389
KRT31,3.08415513930065,0.03233682397929082
IL11,2.8678110732374096,0.04295476973146488
MMP16,-3.0076437919178027,0.03645004112641963
DAAM2,3.003592096466474,0.03645004112641963
MAG,3.676045810037154,0.013959620502779303
NCAM2,-4.3335953696568,0.007258527693822019
NEFH,2.961157356732868,0.0381113401624631
NINJ2,3.7573533944361235,0.01208104530833497
MYT1,4.296118969478993,0.007582268493451432
CLDN11,3.6572945666433263,0.014403040326679035
PCP4,3.5371758027783318,0.016560413199505075
PDE1A,-3.2246907982124107,0.026553359578961003
NPC1,4.117917397809017,0.008789041310606725
NPTX1,-4.832530815007948,0.003707441801146914
ENPP2,2.9686290425317634,0.03778202987146097
PIP4K2A,2.89674081495957,0.042068740107794655
PLCB4,3.7033312561819316,0.013404943106148842
PCSK6,3.4649322504223785,0.018936720624263582
PLP1,3.468222758484652,0.01890305348377264
SEPT4,3.805872590378294,0.011748693316671601
MAPK4,2.905250723415522,0.04185733369776279
PSD,-3.6786545572674227,0.013959620502779303
PTPRR,-3.3813663737023787,0.021897133345563362
QDPR,5.923363036241861,0.0005002102332717823
RAC3,2.8011510426771156,0.048315252876955095
RFX3,-3.5299710374098394,0.0167673756770598
S100B,3.291148425344968,0.024485851109775723
SALL2,3.0078985657669337,0.03645004112641963
SPTBN2,-6.465714069909269,0.00013874613307283853
ICAM5,-3.75534155235296,0.01208104530833497
TNR,-3.358434081527596,0.022273452538647442
DPF1,-2.959377265364502,0.038144189296053205
HIST1H4K,-3.9573332156911034,0.010809935082809072
ZIC1,5.273401313663856,0.0016251169993223838
SLC30A3,-3.126903584889314,0.031061263098281874
SCG2,3.984577104873577,0.010633602253137255
PPFIA2,-2.968152174373344,0.03778202987146097
ENC1,-3.6522800368827717,0.014464309803587469
GAS7,-3.2843417481443242,0.02469974144354878
BCAS1,3.7768272892499732,0.011913447965363432
GDA,-3.3797986286245245,0.021897133345563362
FEZ1,3.2209926966133864,0.026624588549862962
MICAL2,-3.0515594834952076,0.033900994390665434
AKAP5,-3.417819258778912,0.020447102569982823
SPRY3,3.446224742980378,0.01963980849745183
ST18,3.371344832385497,0.02211721398870178
GAB2,2.93652882555674,0.03944303231985795
TMCC2,3.5058803896962596,0.01766625003202739
CACNG3,-3.1863272029366745,0.028377557453266422
